Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,3.129995950209252,6.8,0
बाघ,बिल्ली,5.336025061427112,7.0,1
किताब,कागज़,5.469306332844376,7.6,1
कंप्यूटर,कीबोर्ड,7.682935268069349,7.6,1
कंप्यूटर,इंटरनेट,8.108631834771238,8.0,1
विमान,कार,6.3731389450005915,6.0,1
रेलगाड़ी,कार,7.488714913373274,6.2,1
टेलीफोन,संचार,3.7456739069513363,7.6,0
टेलीविजन,रेडियो,8.019670646508187,6.4,1
मीडिया,रेडियो,4.965292997069968,5.8,0
ब्रेड,मक्खन,8.236988464765474,6.6,1
खीरा,आलू,8.303862220507355,5.8,1
चिकित्सक,नर्स,7.180417400203,7.6,1
प्रोफ़ेसर,चिकित्सक,4.706634465909109,4.6,0
छात्र,प्रोफ़ेसर,4.458838342077486,7.0,0
होशियार,छात्र,2.2217477985079013,5.2,0
होशियार,बेवकूफ,6.045512360589438,6.2,1
किताब,पुस्तकालय,2.8826952721359183,7.6,0
बैंक,पैसे,4.355809013956488,8.0,0
लकड़ी,जंगल,5.527214476046441,7.0,1
प्रोफ़ेसर,खीरा,-0.051562184735258886,0.0,0
राजा,रानी,6.6190587223382185,8.2,1
बिशप,रबी,-1.1893064400857285,7.0,0
यरूशलेम,इजराइल,5.509077690282743,7.8,1
पवित्र,सेक्स,0.9757400577071305,1.0,0
माराडोना,फ़ुटबॉल,7.276397635070283,7.8,1
फ़ुटबॉल,सॉकर,8.768568667563436,9.0,1
फ़ुटबॉल,बास्केटबाल,7.947431021866713,6.4,1
फ़ुटबॉल,टेनिस,8.42240510508214,5.8,1
टेनिस,रैकेट,2.2198628544369385,7.4,0
कानून,वकील,3.841879038109282,7.8,0
चलचित्र,पॉपकॉर्न,2.4394680588652977,6.6,0
चलचित्र,आलोचक,3.5865936036213784,6.6,0
चलचित्र,थिएटर,5.928101559770569,8.4,1
पीना,कार,0.1403353855327543,1.4,0
पीना,कान,1.3512139358336128,0.4,0
पीना,मुंह,2.2652243392482694,7.0,0
बच्चा,मां,5.297820141263814,7.2,1
पीना,मां,1.6959013486207728,1.8,0
मणि,गहना,3.6144582631151367,6.8,0
भट्ठी,स्टोव,7.895333978893516,8.4,1
भोजन,फल,6.405231050912418,6.6,1
पक्षी,सारस,8.71589067293484,7.4,1
भाई,साधु,3.4423449474873555,1.4,0
यात्रा,कार,3.712617495484867,6.2,0
साधु,गुलाम,2.012245852178021,0.2,0
कांच,जादूगर,2.2748998333513777,2.0,0
पैसे,मुद्रा,2.7428430244882342,8.6,0
पैसे,धन,6.681554321327539,9.2,1
पैसे,संपत्ति,4.640902835887378,8.4,0
पैसे,बैंक,4.355809013956488,8.2,0
पैसे,जमा,4.152074038402411,6.6,0
पैसे,ऑपरेशन,1.5446108341651517,2.6,0
बाघ,जैगुआर,2.182716013715862,8.0,0
बाघ,जानवर,7.367996799575954,7.6,1
बाघ,चिड़ियाघर,6.227161132962903,6.8,1
मनोविज्ञान,चिंता,1.6610096006003447,6.2,0
मनोविज्ञान,डर,-0.409981815073418,5.2,0
मनोविज्ञान,डिप्रेशन,3.7255429712364796,7.0,0
मनोविज्ञान,क्लिनिक,3.094649502974096,6.4,0
मनोविज्ञान,चिकित्सक,4.528347164958612,7.0,0
मनोविज्ञान,मन,2.513045158989211,7.4,0
मनोविज्ञान,स्वास्थ्य,4.304416211046983,6.2,0
मनोविज्ञान,विज्ञान,7.902854348168447,7.0,1
मनोविज्ञान,अनुशासन,5.841777498092298,4.2,1
Total Accuracy --> 56.92307692307692,,,,
